word,rank,frequency,cefr_level,sfi
quiz,876,58614,C2,47.68
watershed,877,58345,C2,47.66
liter,878,55335,C2,47.43
oxidize,879,54954,C2,47.4
mercury,880,54576,C2,47.37
noisy,881,54450,C2,47.36
headquarter,882,54450,C2,47.36
phenomenal,883,53951,C2,47.32
multinational,884,53827,C2,47.31
comma,885,52966,C2,47.24
bizarre,886,52723,C2,47.22
specialty,887,52481,C2,47.2
socialize,888,52000,C2,47.16
enormously,889,51523,C2,47.12
novice,890,51523,C2,47.12
rope,891,51050,C2,47.08
campus,892,50699,C2,47.05
clever,893,50466,C2,47.03
mole,894,48865,C2,46.89
sometime,895,47753,C2,46.79
bucket,896,46666,C2,46.69
swap,897,46452,C2,46.67
recipe,898,46238,C2,46.65
airplane,899,45709,C2,46.6
deflection,900,45394,C2,46.57
deceive,901,45290,C2,46.56
syllabus,902,45082,C2,46.54
neat,903,45082,C2,46.54
factorial,904,44771,C2,46.51
lever,905,44771,C2,46.51
descriptor,906,44668,C2,46.5
semester,907,42855,C2,46.32
underneath,908,41783,C2,46.21
reactor,909,41305,C2,46.16
herbicide,910,40365,C2,46.06
bonus,911,40272,C2,46.05
cheat,912,39994,C2,46.02
missile,913,39537,C2,45.97
rub,914,39355,C2,45.95
radar,915,38637,C2,45.87
memorize,916,38282,C2,45.83
scripture,917,38194,C2,45.82
whoever,918,37411,C2,45.73
whichever,919,35400,C2,45.49
bullet,920,34119,C2,45.33
punch,921,34119,C2,45.33
postgraduate,922,33806,C2,45.29
artwork,923,33266,C2,45.22
pardon,924,31989,C2,45.05
millimeter,925,31046,C2,44.92
incredible,926,30620,C2,44.86
halfway,927,30549,C2,44.85
deadline,928,30269,C2,44.81
bang,929,29992,C2,44.77
semi,930,28184,C2,44.5
slash,931,27990,C2,44.47
ridiculous,932,27669,C2,44.42
homework,933,27479,C2,44.39
multi,934,27479,C2,44.39
volition,935,27102,C2,44.33
tricky,936,24547,C2,43.9
cheer,937,24044,C2,43.81
shuttle,938,23823,C2,43.77
aerosol,939,23496,C2,43.71
athletic,940,23014,C2,43.62
chess,941,22699,C2,43.56
terribly,942,22542,C2,43.53
unintelligible,943,22439,C2,43.51
circa,944,22336,C2,43.49
scroll,945,22233,C2,43.47
sponsorship,946,21330,C2,43.29
connector,947,20893,C2,43.2
nasty,948,20749,C2,43.17
incredibly,949,20559,C2,43.13
neo,950,20464,C2,43.11
entrant,951,19861,C2,42.98
hawk,952,19679,C2,42.94
handout,953,19275,C2,42.85
tech,954,18155,C2,42.59
rack,955,17458,C2,42.42
applause,956,17140,C2,42.34
demonstrator,957,16827,C2,42.26
calculator,958,15276,C2,41.84
mall,959,13305,C2,41.24
sneeze,960,12078,C2,40.82
sniff,961,11722,C2,40.69
stadium,962,11668,C2,40.67
descendent,963,7798,C2,38.92
